Finding the smallest power of 2 that begins with 7

108.000000,133,0.000063
876.000000,1498,0.000728
345.000000,231,0.000043
744.000000,458,0.000080
664.000000,2255,0.001261
143.000000,346,0.000177
1.000000,0,0.000016
925.000000,744,0.000180
197.000000,383,0.000183
875.000000,1983,0.001033
67.000000,222,0.000125
988.000000,1063,0.000374
986.000000,2033,0.000980
62.000000,192,0.000230
510.000000,979,0.000664
202.000000,104,0.000007
886.000000,920,0.000380
251.000000,194,0.000043
141.000000,243,0.000102
224.000000,536,0.000249
941.000000,1528,0.000616
626.000000,1162,0.000725
296.000000,264,0.000090
405.000000,590,0.000305
743.000000,943,0.000375
760.000000,1438,0.000753
704.000000,1697,0.001018
866.000000,2561,0.001296
607.000000,1926,0.000855
231.000000,257,0.000076
72.000000,56,0.000014
321.000000,201,0.000024
844.000000,1385,0.000488
14.000000,47,0.000024
764.000000,1149,0.000391
159.000000,293,0.000111
56.000000,49,0.000014
839.000000,1674,0.000637
980.000000,2322,0.000952
265.000000,606,0.000244
935.000000,2302,0.000993
750.000000,850,0.000263
862.000000,2365,0.001234
719.000000,541,0.000128
320.000000,1171,0.000533
33.000000,25,0.000008
715.000000,830,0.000241
586.000000,843,0.000281
719.000000,541,0.000103
949.000000,1920,0.000741
199.000000,486,0.000200
989.000000,578,0.000045
27.000000,38,0.000016
973.000000,1445,0.000484
897.000000,1508,0.000537
86.000000,229,0.000098
678.000000,1584,0.000634
410.000000,693,0.000250
218.000000,330,0.000116
222.000000,629,0.000265
506.000000,587,0.000171
177.000000,436,0.000180
993.000000,774,0.000143
82.000000,209,0.000089
553.000000,916,0.000327
992.000000,1259,0.000386
173.000000,426,0.000176
14.000000,47,0.000025
513.000000,690,0.000223
29.000000,68,0.000031
125.000000,193,0.000070
870.000000,621,0.000139
626.000000,1162,0.000487
1.000000,0,0.000003
528.000000,411,0.000084
611.000000,1152,0.000454
601.000000,368,0.000038
18.000000,54,0.000026
620.000000,1255,0.000480
387.000000,1251,0.000540
986.000000,2033,0.000801
663.000000,604,0.000141
271.000000,616,0.000246
834.000000,2448,0.001032
161.000000,396,0.000163
103.000000,113,0.000035
134.000000,223,0.000082
885.000000,1405,0.000489
222.000000,629,0.000266
81.000000,106,0.000038
471.000000,557,0.000166
510.000000,979,0.000370
774.000000,1737,0.000686
667.000000,2451,0.001344
589.000000,554,0.000190
665.000000,1770,0.000987
709.000000,438,0.000058
158.000000,97,0.000012
663.000000,604,0.000141
39.000000,95,0.000043
547.000000,1979,0.000872
101.000000,103,0.000031
487.000000,474,0.000121
144.000000,253,0.000095
597.000000,1142,0.000431
453.000000,929,0.000359
265.000000,606,0.000243
112.000000,535,0.000243
269.000000,224,0.000049
42.000000,32,0.000009
533.000000,318,0.000030
54.000000,39,0.000010
874.000000,2953,0.001285
489.000000,670,0.000234
907.000000,930,0.000242
424.000000,610,0.000205
913.000000,2292,0.000929
861.000000,714,0.000145
806.000000,880,0.000243
99.000000,93,0.000026
325.000000,304,0.000076
570.000000,637,0.000180
1000.000000,2136,0.000824
175.000000,529,0.000226
199.000000,486,0.000201
670.000000,511,0.000093
849.000000,611,0.000097
84.000000,219,0.000093
549.000000,524,0.000129
848.000000,1096,0.000384
749.000000,1335,0.000516
563.000000,1700,0.000725
557.000000,2278,0.001019
92.000000,63,0.000012
605.000000,1245,0.000480
139.000000,140,0.000040
315.000000,387,0.000120
120.000000,80,0.000013
106.000000,123,0.000039
910.000000,1611,0.000587
243.000000,473,0.000182
245.000000,184,0.000034
348.000000,623,0.000432
776.000000,767,0.000340
767.000000,1345,0.000863
356.000000,633,0.000330
903.000000,734,0.000204
21.000000,31,0.000020
979.000000,671,0.000133
192.000000,373,0.000205
834.000000,2448,0.001411
844.000000,1385,0.000605
335.000000,510,0.000220
301.000000,563,0.000295
552.000000,1886,0.001021
965.000000,1053,0.000360
5079.000000,8161,0.003564
9655.000000,20762,0.009406
9823.000000,21546,0.008565
1888.000000,9103,0.004551
7352.000000,10550,0.003811
9613.000000,20566,0.009799
2061.000000,1373,0.000221
8521.000000,8185,0.002236
